,Date,Song,Artist,Track ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,1961-06-01,Running Scared,roy orbison,6sbj89WozjblBMa5u41orw,0.572,0.392,9,-10.555,1,0.0325,0.778,0.000435,0.15,0.381,128.255,audio_features,6sbj89WozjblBMa5u41orw,spotify:track:6sbj89WozjblBMa5u41orw,https://api.spotify.com/v1/tracks/6sbj89WozjblBMa5u41orw,https://api.spotify.com/v1/audio-analysis/6sbj89WozjblBMa5u41orw,132040,3
1,1961-06-01,Travelin' Man,ricky nelson,1sM0yZDxUhPQhkDh2CLd6l,0.723,0.44,2,-10.536,1,0.0319,0.667,0.0,0.128,0.843,123.217,audio_features,1sM0yZDxUhPQhkDh2CLd6l,spotify:track:1sM0yZDxUhPQhkDh2CLd6l,https://api.spotify.com/v1/tracks/1sM0yZDxUhPQhkDh2CLd6l,https://api.spotify.com/v1/audio-analysis/1sM0yZDxUhPQhkDh2CLd6l,143200,4
2,1961-06-01,Daddy's Home,shep the limelites,6pLYCkA0j6dcjMSP4IrgxW,0.493,0.123,5,-13.875,1,0.0366,0.939,8.58e-06,0.146,0.273,144.64,audio_features,6pLYCkA0j6dcjMSP4IrgxW,spotify:track:6pLYCkA0j6dcjMSP4IrgxW,https://api.spotify.com/v1/tracks/6pLYCkA0j6dcjMSP4IrgxW,https://api.spotify.com/v1/audio-analysis/6pLYCkA0j6dcjMSP4IrgxW,174200,3
3,1961-06-01,Mama Said,the shirelles,5sGeyWYDvUIF7QjERNCY7L,0.604,0.591,8,-6.874,0,0.0614,0.704,0.0,0.47,0.829,140.558,audio_features,5sGeyWYDvUIF7QjERNCY7L,spotify:track:5sGeyWYDvUIF7QjERNCY7L,https://api.spotify.com/v1/tracks/5sGeyWYDvUIF7QjERNCY7L,https://api.spotify.com/v1/audio-analysis/5sGeyWYDvUIF7QjERNCY7L,130893,4
4,1961-06-01,I Feel So Bad,elvis presley,42X4AMue61nbWRF7VGIbSz,0.502,0.68,5,-11.368,1,0.0406,0.75,0.0483,0.232,0.937,91.813,audio_features,42X4AMue61nbWRF7VGIbSz,spotify:track:42X4AMue61nbWRF7VGIbSz,https://api.spotify.com/v1/tracks/42X4AMue61nbWRF7VGIbSz,https://api.spotify.com/v1/audio-analysis/42X4AMue61nbWRF7VGIbSz,174160,4
5,1961-06-01,Stand By Me,ben e king,3SdTKo2uVsxFblQjpScoHy,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,audio_features,3SdTKo2uVsxFblQjpScoHy,spotify:track:3SdTKo2uVsxFblQjpScoHy,https://api.spotify.com/v1/tracks/3SdTKo2uVsxFblQjpScoHy,https://api.spotify.com/v1/audio-analysis/3SdTKo2uVsxFblQjpScoHy,180056,4
6,1961-06-01,Moody River,pat boone,2TEdI0KNrYHo4UPhrt0ais,0.767,0.269,3,-14.983,1,0.0333,0.774,0.0,0.0875,0.534,129.921,audio_features,2TEdI0KNrYHo4UPhrt0ais,spotify:track:2TEdI0KNrYHo4UPhrt0ais,https://api.spotify.com/v1/tracks/2TEdI0KNrYHo4UPhrt0ais,https://api.spotify.com/v1/audio-analysis/2TEdI0KNrYHo4UPhrt0ais,157267,4
7,1961-06-01,A Hundred Pounds Of Clay,gene mcdaniels,4s9qKAu0wMyIWVUB7Cuv3j,0.684,0.389,0,-10.933,1,0.035,0.604,0.0,0.369,0.824,129.06,audio_features,4s9qKAu0wMyIWVUB7Cuv3j,spotify:track:4s9qKAu0wMyIWVUB7Cuv3j,https://api.spotify.com/v1/tracks/4s9qKAu0wMyIWVUB7Cuv3j,https://api.spotify.com/v1/audio-analysis/4s9qKAu0wMyIWVUB7Cuv3j,142027,4
8,1961-06-01,Raindrops,dee clark,6CqTD9nWwf8R1yPVkIVdF5,0.381,0.719,7,-7.613,1,0.0494,0.452,0.0,0.689,0.563,114.086,audio_features,6CqTD9nWwf8R1yPVkIVdF5,spotify:track:6CqTD9nWwf8R1yPVkIVdF5,https://api.spotify.com/v1/tracks/6CqTD9nWwf8R1yPVkIVdF5,https://api.spotify.com/v1/audio-analysis/6CqTD9nWwf8R1yPVkIVdF5,179665,1
9,1961-06-01,Breakin' In A Brand New Broken Heart,connie francis,4Z2sM6VTcNZZQjpjR267go,0.327,0.238,0,-7.387,1,0.0289,0.824,0.0,0.0877,0.213,83.352,audio_features,4Z2sM6VTcNZZQjpjR267go,spotify:track:4Z2sM6VTcNZZQjpjR267go,https://api.spotify.com/v1/tracks/4Z2sM6VTcNZZQjpjR267go,https://api.spotify.com/v1/audio-analysis/4Z2sM6VTcNZZQjpjR267go,157520,4
10,1961-06-01,Tragedy,the fleetwoods,7r60cjhpBJxUuU631Q5YGd,0.482,0.124,1,-21.775,1,0.0321,0.658,0.00814,0.125,0.287,181.061,audio_features,7r60cjhpBJxUuU631Q5YGd,spotify:track:7r60cjhpBJxUuU631Q5YGd,https://api.spotify.com/v1/tracks/7r60cjhpBJxUuU631Q5YGd,https://api.spotify.com/v1/audio-analysis/7r60cjhpBJxUuU631Q5YGd,166160,3
11,1961-06-01,Hello Walls,faron young,4dim8F8t01qimHOmr6S3Gd,0.62,0.406,0,-10.421,1,0.0281,0.722,6.73e-06,0.114,0.695,101.489,audio_features,4dim8F8t01qimHOmr6S3Gd,spotify:track:4dim8F8t01qimHOmr6S3Gd,https://api.spotify.com/v1/tracks/4dim8F8t01qimHOmr6S3Gd,https://api.spotify.com/v1/audio-analysis/4dim8F8t01qimHOmr6S3Gd,146840,4
12,1961-06-01,Little Devil,neil sedaka,4QC7vy5Oq4LKxhdPAnUJxc,0.542,0.74,0,-6.124,1,0.0317,0.61,0.0,0.256,0.904,154.352,audio_features,4QC7vy5Oq4LKxhdPAnUJxc,spotify:track:4QC7vy5Oq4LKxhdPAnUJxc,https://api.spotify.com/v1/tracks/4QC7vy5Oq4LKxhdPAnUJxc,https://api.spotify.com/v1/audio-analysis/4QC7vy5Oq4LKxhdPAnUJxc,162640,4
13,1961-06-01,Hello Mary Lou,ricky nelson,6ImmlZj8ysK2jDnqqbKp60,0.602,0.633,9,-9.756,1,0.0314,0.502,0.0,0.0614,0.931,98.995,audio_features,6ImmlZj8ysK2jDnqqbKp60,spotify:track:6ImmlZj8ysK2jDnqqbKp60,https://api.spotify.com/v1/tracks/6ImmlZj8ysK2jDnqqbKp60,https://api.spotify.com/v1/audio-analysis/6ImmlZj8ysK2jDnqqbKp60,138547,4
14,1961-06-01,Runaway,del shannon,45Szkclj1lt4ubm7RFK68t,0.594,0.533,10,-7.993,0,0.0438,0.153,1.49e-05,0.172,0.729,78.552,audio_features,45Szkclj1lt4ubm7RFK68t,spotify:track:45Szkclj1lt4ubm7RFK68t,https://api.spotify.com/v1/tracks/45Szkclj1lt4ubm7RFK68t,https://api.spotify.com/v1/audio-analysis/45Szkclj1lt4ubm7RFK68t,137307,4
15,1961-06-01,Barbara-Ann,the regents,44iYHhqsZumnQedqNtOK6x,0.264,0.453,5,-13.253,1,0.0356,0.85,0.0,0.245,0.695,167.541,audio_features,44iYHhqsZumnQedqNtOK6x,spotify:track:44iYHhqsZumnQedqNtOK6x,https://api.spotify.com/v1/tracks/44iYHhqsZumnQedqNtOK6x,https://api.spotify.com/v1/audio-analysis/44iYHhqsZumnQedqNtOK6x,135507,4
16,1961-06-01,You Always Hurt The One You Love,clarence henry,50l67uDFLIW3d9C5QCf4Kr,0.728,0.433,10,-9.143,1,0.037,0.833,1.53e-06,0.0598,0.541,112.216,audio_features,50l67uDFLIW3d9C5QCf4Kr,spotify:track:50l67uDFLIW3d9C5QCf4Kr,https://api.spotify.com/v1/tracks/50l67uDFLIW3d9C5QCf4Kr,https://api.spotify.com/v1/audio-analysis/50l67uDFLIW3d9C5QCf4Kr,150507,4
17,1961-06-01,The Writing On The Wall,adam wade,4ECyERuKQUKEhtQGpoKKwi,0.737,0.283,1,-11.696,1,0.041,0.543,0.000258,0.0733,0.747,124.07,audio_features,4ECyERuKQUKEhtQGpoKKwi,spotify:track:4ECyERuKQUKEhtQGpoKKwi,https://api.spotify.com/v1/tracks/4ECyERuKQUKEhtQGpoKKwi,https://api.spotify.com/v1/audio-analysis/4ECyERuKQUKEhtQGpoKKwi,150240,4
18,1961-06-01,Mother-In-Law,ernie k-doe,39h384i9hij2H9Qtl9XUuu,0.81,0.524,7,-9.77,0,0.0339,0.77,1.03e-05,0.161,0.949,130.214,audio_features,39h384i9hij2H9Qtl9XUuu,spotify:track:39h384i9hij2H9Qtl9XUuu,https://api.spotify.com/v1/tracks/39h384i9hij2H9Qtl9XUuu,https://api.spotify.com/v1/audio-analysis/39h384i9hij2H9Qtl9XUuu,153093,4
19,1961-06-01,Girl Of My Best Friend,ral donner,22CJtUo2zz8CzjLoiPzjdi,0.645,0.211,1,-16.09,0,0.0373,0.862,5.46e-06,0.129,0.731,134.907,audio_features,22CJtUo2zz8CzjLoiPzjdi,spotify:track:22CJtUo2zz8CzjLoiPzjdi,https://api.spotify.com/v1/tracks/22CJtUo2zz8CzjLoiPzjdi,https://api.spotify.com/v1/audio-analysis/22CJtUo2zz8CzjLoiPzjdi,137509,4
20,1961-06-01,Every Beat Of My Heart,pips,75hgmQO2o2IUx0vgl0l54e,0.338,0.362,0,-13.103,1,0.0323,0.812,2.52e-05,0.229,0.425,173.985,audio_features,75hgmQO2o2IUx0vgl0l54e,spotify:track:75hgmQO2o2IUx0vgl0l54e,https://api.spotify.com/v1/tracks/75hgmQO2o2IUx0vgl0l54e,https://api.spotify.com/v1/audio-analysis/75hgmQO2o2IUx0vgl0l54e,114667,3
21,1961-06-01,Those Oldies But Goodies (Remind Me Of You),little caesar the romans,05xGj0TWWNfOF76CzY9woN,0.475,0.257,7,-16.965,1,0.0305,0.979,3.68e-06,0.547,0.508,96.761,audio_features,05xGj0TWWNfOF76CzY9woN,spotify:track:05xGj0TWWNfOF76CzY9woN,https://api.spotify.com/v1/tracks/05xGj0TWWNfOF76CzY9woN,https://api.spotify.com/v1/audio-analysis/05xGj0TWWNfOF76CzY9woN,199132,3
22,1961-06-01,Tossin' And Turnin',bobby lewis,79s3pSe1u6ggQBEwVPm58Z,0.569,0.722,0,-8.914,1,0.0393,0.225,0.0,0.108,0.965,142.736,audio_features,79s3pSe1u6ggQBEwVPm58Z,spotify:track:79s3pSe1u6ggQBEwVPm58Z,https://api.spotify.com/v1/tracks/79s3pSe1u6ggQBEwVPm58Z,https://api.spotify.com/v1/audio-analysis/79s3pSe1u6ggQBEwVPm58Z,159640,4
