,Date,Song,Artist,Track ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,1971-06-01,Brown Sugar,the rolling stones,61UuPxxYUvacEH6SHIK3sU,0.633,0.934,0,-3.594,1,0.0344,0.219,0.00021,0.0592,0.963,128.606,audio_features,61UuPxxYUvacEH6SHIK3sU,spotify:track:61UuPxxYUvacEH6SHIK3sU,https://api.spotify.com/v1/tracks/61UuPxxYUvacEH6SHIK3sU,https://api.spotify.com/v1/audio-analysis/61UuPxxYUvacEH6SHIK3sU,228667,4
1,1971-06-01,Joy To The World,three dog night,2ymeOsYijJz09LfKw3yM2x,0.649,0.679,2,-12.515,1,0.0316,0.464,0.00121,0.339,0.971,126.867,audio_features,2ymeOsYijJz09LfKw3yM2x,spotify:track:2ymeOsYijJz09LfKw3yM2x,https://api.spotify.com/v1/tracks/2ymeOsYijJz09LfKw3yM2x,https://api.spotify.com/v1/audio-analysis/2ymeOsYijJz09LfKw3yM2x,220573,4
2,1971-06-01,Want Ads,the honey cone,3YpN9pvaTXKSXurj3HBq8M,0.651,0.812,1,-6.912,1,0.239,0.33,0.000131,0.0833,0.927,189.684,audio_features,3YpN9pvaTXKSXurj3HBq8M,spotify:track:3YpN9pvaTXKSXurj3HBq8M,https://api.spotify.com/v1/tracks/3YpN9pvaTXKSXurj3HBq8M,https://api.spotify.com/v1/audio-analysis/3YpN9pvaTXKSXurj3HBq8M,166386,4
3,1971-06-01,It Don't Come Easy,ringo starr,4RFqi5JQduiSlRZCVlUDGH,0.609,0.624,7,-11.717,1,0.0292,0.0396,0.000168,0.277,0.691,123.191,audio_features,4RFqi5JQduiSlRZCVlUDGH,spotify:track:4RFqi5JQduiSlRZCVlUDGH,https://api.spotify.com/v1/tracks/4RFqi5JQduiSlRZCVlUDGH,https://api.spotify.com/v1/audio-analysis/4RFqi5JQduiSlRZCVlUDGH,184333,4
4,1971-06-01,Rainy Days And Mondays,carpenters,5cbZDpFu1hTwaU7hDQpf13,0.351,0.235,10,-11.513,1,0.0323,0.852,0.0,0.0688,0.218,74.72,audio_features,5cbZDpFu1hTwaU7hDQpf13,spotify:track:5cbZDpFu1hTwaU7hDQpf13,https://api.spotify.com/v1/tracks/5cbZDpFu1hTwaU7hDQpf13,https://api.spotify.com/v1/audio-analysis/5cbZDpFu1hTwaU7hDQpf13,218893,4
5,1971-06-01,Never Can Say Goodbye,jackson 5,5RHf8SmHRWbF3oywpXaQ2i,0.527,0.821,2,-7.19,1,0.047,0.337,1.68e-06,0.394,0.835,166.139,audio_features,5RHf8SmHRWbF3oywpXaQ2i,spotify:track:5RHf8SmHRWbF3oywpXaQ2i,https://api.spotify.com/v1/tracks/5RHf8SmHRWbF3oywpXaQ2i,https://api.spotify.com/v1/audio-analysis/5RHf8SmHRWbF3oywpXaQ2i,179773,4
6,1971-06-01,Me And You And A Dog Named Boo,lobo,3wRiwV9HdarzkktRH7If46,0.628,0.603,6,-10.286,1,0.0312,0.178,1.73e-05,0.0686,0.951,120.782,audio_features,3wRiwV9HdarzkktRH7If46,spotify:track:3wRiwV9HdarzkktRH7If46,https://api.spotify.com/v1/tracks/3wRiwV9HdarzkktRH7If46,https://api.spotify.com/v1/audio-analysis/3wRiwV9HdarzkktRH7If46,177933,4
7,1971-06-01,Put Your Hand In The Hand,ocean,7fwa5I8SycGBpw2jOZ0L7m,0.833,0.475,9,-14.951,1,0.0403,0.0489,0.000104,0.0759,0.978,136.384,audio_features,7fwa5I8SycGBpw2jOZ0L7m,spotify:track:7fwa5I8SycGBpw2jOZ0L7m,https://api.spotify.com/v1/tracks/7fwa5I8SycGBpw2jOZ0L7m,https://api.spotify.com/v1/audio-analysis/7fwa5I8SycGBpw2jOZ0L7m,176707,4
8,1971-06-01,I Don't Know How To Love Him,helen reddy,6DSq5IghuzKhH3AYatSb6h,0.284,0.396,3,-6.761,1,0.028,0.699,0.0386,0.129,0.303,79.628,audio_features,6DSq5IghuzKhH3AYatSb6h,spotify:track:6DSq5IghuzKhH3AYatSb6h,https://api.spotify.com/v1/tracks/6DSq5IghuzKhH3AYatSb6h,https://api.spotify.com/v1/audio-analysis/6DSq5IghuzKhH3AYatSb6h,199147,4
9,1971-06-01,Treat Her Like A Lady,cornelius brothers  sister rose,75t6tcHkZDFKLKJwjXFMtq,0.775,0.476,11,-8.539,0,0.0355,0.191,0.0,0.132,0.928,131.4,audio_features,75t6tcHkZDFKLKJwjXFMtq,spotify:track:75t6tcHkZDFKLKJwjXFMtq,https://api.spotify.com/v1/tracks/75t6tcHkZDFKLKJwjXFMtq,https://api.spotify.com/v1/audio-analysis/75t6tcHkZDFKLKJwjXFMtq,160360,4
